StationName,City,State,FullAddress,location,latitude,longitude
"Palayam, Kozhikode - Kerala PCB",Kozhikode,Kerala,"Kozhikode, Kerala, India","Kozhikode, Kerala, 673001, India",11.2450558,75.7754716
"Kariavattom, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,Kerala,"Thiruvananthapuram, Kerala, India","Thiruvananthapuram, Kerala, 695001, India",8.4882267,76.947551
"Plammoodu, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,Kerala,"Thiruvananthapuram, Kerala, India","Thiruvananthapuram, Kerala, 695001, India",8.4882267,76.947551
"T T Nagar, Bhopal - MPPCB",Bhopal,Madhya Pradesh,"Bhopal, Madhya Pradesh, India","Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",23.2584857,77.401989
"Shrivastav Colony, Damoh - MPPCB",Damoh,Madhya Pradesh,"Damoh, Madhya Pradesh, India","Damoh, Madhya Pradesh, India",23.7981005,79.5419356
"Bhopal Chauraha, Dewas - MPPCB",Dewas,Madhya Pradesh,"Dewas, Madhya Pradesh, India","Dewas, Madhya Pradesh, India",22.8057498,76.2940408
"City Center, Gwalior - MPPCB",Gwalior,Madhya Pradesh,"Gwalior, Madhya Pradesh, India","Gwalior, Gird Tahsil, Gwalior, Madhya Pradesh, 474001, India",26.2037247,78.1573628
"Phool Bagh, Gwalior - Mondelez Ind. Food",Gwalior,Madhya Pradesh,"Gwalior, Madhya Pradesh, India","Gwalior, Gird Tahsil, Gwalior, Madhya Pradesh, 474001, India",26.2037247,78.1573628
"Chhoti Gwaltoli, Indore - MPPCB",Indore,Madhya Pradesh,"Indore, Madhya Pradesh, India","Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",22.7203616,75.8681996
"Marhatal, Jabalpur - MPPCB",Jabalpur,Madhya Pradesh,"Jabalpur, Madhya Pradesh, India","Jabalpur, Ranjhi Tahsil, Jabalpur, Madhya Pradesh, India",23.1701522,79.9324505
"Gole Bazar, Katni - MPPCB",Katni,Madhya Pradesh,"Katni, Madhya Pradesh, India","Katni, Madhya Pradesh, India",23.7176393,80.2610181
"Sahilara, Maihar - KJS Cements",Maihar,Madhya Pradesh,"Maihar, Madhya Pradesh, India","Maihar, Maihar Tahsil, Maihar, Madhya Pradesh, India",24.260444,80.7592749
"Sector-D Industrial Area, Mandideep - MPPCB",Mandideep,Madhya Pradesh,"Mandideep, Madhya Pradesh, India","Mandideep, NH46, Mandideep, Goharganj Tahsil, Raisen, Madhya Pradesh, 462046, India",23.093838,77.5114296
"Sector-2 Industrial Area, Pithampur - MPPCB",Pithampur,Madhya Pradesh,"Pithampur, Madhya Pradesh, India","Pithampur, Pithampur Tahsil, Dhar, Madhya Pradesh, 454775, India",22.6105576,75.6790283
"Shasthri Nagar, Ratlam - IPCA Lab",Ratlam,Madhya Pradesh,"Ratlam, Madhya Pradesh, India","Ratlam, Madhya Pradesh, India",23.50222,74.9551534
"Deen Dayal Nagar, Sagar - MPPCB",Sagar,Madhya Pradesh,"Sagar, Madhya Pradesh, India","Sagar, Madhya Pradesh, India",23.8083076,78.758254
"Bandhavgar Colony, Satna - Birla Cement",Satna,Madhya Pradesh,"Satna, Madhya Pradesh, India","Satna, Madhya Pradesh, India",24.6954445,80.7770348
"Vindhyachal STPS, Singrauli - MPPCB",Singrauli,Madhya Pradesh,"Singrauli, Madhya Pradesh, India","Singrauli, Madhya Pradesh, India",24.2431343,82.3827672
"Mahakaleshwar Temple, Ujjain - MPPCB",Ujjain,Madhya Pradesh,"Ujjain, Madhya Pradesh, India","Ujjain, Ujjain NagarTahsil, Ujjain, Madhya Pradesh, 456001, India",23.1885131,75.7716562
"More Chowk Waluj, Aurangabad - MPCB",Aurangabad,Maharashtra,"Aurangabad, Maharashtra, India","Chhatrapati Sambhaji Nagar, Chhatrapati Sambhajinagar, Maharashtra, 431002, India",19.877263,75.3390241
"Chandrapur, Chandrapur - MPCB",Chandrapur,Maharashtra,"Chandrapur, Maharashtra, India","Chandrapur, Maharashtra, India",20.0967555,79.5045475
"MIDC Khutala, Chandrapur - MPCB",Chandrapur,Maharashtra,"Chandrapur, Maharashtra, India","Chandrapur, Maharashtra, India",20.0967555,79.5045475
"Khadakpada, Kalyan - MPCB",Kalyan,Maharashtra,"Kalyan, Maharashtra, India","Kalyan, Kalyan-Dombivli, Kalyan Taluka, Thane, Maharashtra, India",19.2396742,73.1366482
"Bandra, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Borivali East, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Colaba, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Kurla, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Powai, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Sion, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Vasai West, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Vile Parle West, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Worli, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur,Maharashtra,"Nagpur, Maharashtra, India","Nagpur City, Nagpur Urban Taluka, Nagpur, Maharashtra, India",21.1498134,79.0820556
"Gangapur Road, Nashik - MPCB",Nashik,Maharashtra,"Nashik, Maharashtra, India","Nashik, Nashik Taluka, Nashik, Maharashtra, 422001, India",20.0112475,73.7902364
"Airoli, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,"Navi Mumbai, Maharashtra, India","Navi Mumbai, Thane Taluka, Thane, Maharashtra, India",19.0308262,73.0198537
"Mahape, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,"Navi Mumbai, Maharashtra, India","Navi Mumbai, Thane Taluka, Thane, Maharashtra, India",19.0308262,73.0198537
"Nerul, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,"Navi Mumbai, Maharashtra, India","Navi Mumbai, Thane Taluka, Thane, Maharashtra, India",19.0308262,73.0198537
"Karve Road, Pune - MPCB",Pune,Maharashtra,"Pune, Maharashtra, India","Pune City, Pune, Maharashtra, India",18.5213738,73.8545071
"Solapur, Solapur - MPCB",Solapur,Maharashtra,"Solapur, Maharashtra, India","Solapur, Maharashtra, India",17.8499067,75.2763203
"Pimpleshwar Mandir, Thane - MPCB",Thane,Maharashtra,"Thane, Maharashtra, India","Thane, Thane Taluka, Thane, Maharashtra, India",19.1943294,72.9701779
"Lumpyngngad, Shillong - Meghalaya PCB",Shillong,Meghalaya,"Shillong, Meghalaya, India","Shillong, Police Bazar Road, Mawkhar, Shillong, Mylliem, East Khasi Hills, Meghalaya, 793001, India",25.5760446,91.8825282
"Sikulpuikawn, Aizawl - Mizoram PCB",Aizawl,Mizoram,"Aizawl, Mizoram, India","Aizawl, Tlangnuam, Aizawl, Mizoram, 796190, India",23.7433532,92.7382756
"GM Office, Brajrajnagar - OSPCB",Brajrajnagar,Odisha,"Brajrajnagar, Odisha, India","Community Health Centre, Brajrajnagar, Bilaspur - Kharagpur Highway, Orient, Jharsuguda, Odisha, 768216, India",21.8498594,83.9254698
"Talcher Coalfields,Talcher - OSPCB",Talcher,Odisha,"Talcher, Odisha, India","Talcher, Angul - Talcher Road, Talcher, Colliery, Angul, Odisha, 759100, India",20.9322302,85.2005822
"Golden Temple, Amritsar - PPCB",Amritsar,Punjab,"Amritsar, Punjab, India","Amritsar, Amritsar I Tahsil, Amritsar, Punjab, 143001, India",31.6356659,74.8787496
"Hardev Nagar, Bathinda - PPCB",Bathinda,Punjab,"Bathinda, Punjab, India","Bathinda, Punjab, India",30.1794813,75.0471098
"Civil Line, Jalandhar - PPCB",Jalandhar,Punjab,"Jalandhar, Punjab, India","Jalandhar, Punjab, India",31.2922311,75.5678878
"Kalal Majra, Khanna - PPCB",Khanna,Punjab,"Khanna, Punjab, India","Khanna, Khanna Tahsil, Ludhiana, Punjab, 141401, India",30.700625,76.2220763
"Punjab Agricultural University, Ludhiana - PPCB",Ludhiana,Punjab,"Ludhiana, Punjab, India","Ludhiana, Ludhiana (West) Tahsil, Ludhiana, Punjab, 141001, India",30.9090157,75.851601
"RIMT University, Mandi Gobindgarh - PPCB",Gobindgarh,Punjab,"Gobindgarh, Punjab, India","Gobindgarh, Ludhiana (East) Tahsil, Ludhiana, Punjab, 141017, India",30.8613538,75.9461613
"Model Town, Patiala - PPCB",Patiala,Punjab,"Patiala, Punjab, India","Patiala, Punjab, India",30.2092777,76.3397231
"Ratanpura, Rupnagar - Ambuja Cements",Rupnagar,Punjab,"Rupnagar, Punjab, India","Rupnagar, Punjab, India",31.0917102,76.5289701
"Moti Doongri, Alwar - RSPCB",Alwar,Rajasthan,"Alwar, Rajasthan, India","Alwar, Rajasthan, India",27.4140048,76.6170387
"Civil Lines, Ajmer - RSPCB",Ajmer,Rajasthan,"Ajmer, Rajasthan, India","Ajmer, Ajmer Tehsil, Ajmer, Rajasthan, India",26.4691,74.639
"RIICO Ind. Area III, Bhiwadi - RSPCB",Bhiwandi,Rajasthan,"Bhiwandi, Rajasthan, India",,-1,-1
"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,"Jaipur, Rajasthan, India","Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India",26.9154576,75.8189817
"Police Commissionerate, Jaipur - RSPCB",Jaipur,Rajasthan,"Jaipur, Rajasthan, India","Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India",26.9154576,75.8189817
"Shastri Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,"Jaipur, Rajasthan, India","Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India",26.9154576,75.8189817
"Collectorate, Jodhpur - RSPCB",Jodhpur,Rajasthan,"Jodhpur, Rajasthan, India","Jodhpur, Jodhpur Tehsil, Jodhpur, Rajasthan, India",26.2967719,73.0351433
"Shrinath Puram, Kota - RSPCB",Kota,Rajasthan,"Kota, Rajasthan, India","Kota, Ladpura Tehsil, Kota, Rajasthan, 324001, India",25.1737019,75.8574194
"Indira Colony Vistar, Pali - RSPCB",Pali,Rajasthan,"Pali, Rajasthan, India","Pali, Rajasthan, India",25.455221,73.419389
"Ashok Nagar, Udaipur - RSPCB",Udaipur,Rajasthan,"Udaipur, Rajasthan, India","Udaipur, Girwa Tehsil, Udaipur, Rajasthan, 313001, India",24.578721,73.6862571
"Alandur Bus Depot, Chennai - CPCB",Chennai,Tamil Nadu,"Chennai, Tamil Nadu, India","Chennai, Tamil Nadu, 600001, India",13.0836939,80.270186
"Manali Village, Chennai - TNPCB",Chennai,Tamil Nadu,"Chennai, Tamil Nadu, India","Chennai, Tamil Nadu, 600001, India",13.0836939,80.270186
"Manali, Chennai - CPCB",Chennai,Tamil Nadu,"Chennai, Tamil Nadu, India","Chennai, Tamil Nadu, 600001, India",13.0836939,80.270186
"Velachery Res. Area, Chennai - CPCB",Chennai,Tamil Nadu,"Chennai, Tamil Nadu, India","Chennai, Tamil Nadu, 600001, India",13.0836939,80.270186
"SIDCO Kurichi, Coimbatore - TNPCB",Coimbatore,Tamil Nadu,"Coimbatore, Tamil Nadu, India","Coimbatore, Coimbatore North, Coimbatore, Tamil Nadu, 641001, India",11.0018115,76.9628425
"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,Telangana,"Hyderabad, Telangana, India","Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, India",17.360589,78.4740613
"Central University, Hyderabad - TSPCB",Hyderabad,Telangana,"Hyderabad, Telangana, India","Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, India",17.360589,78.4740613
"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,Telangana,"Hyderabad, Telangana, India","Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, India",17.360589,78.4740613
"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,Telangana,"Hyderabad, Telangana, India","Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, India",17.360589,78.4740613
"Sanathnagar, Hyderabad - TSPCB",Hyderabad,Telangana,"Hyderabad, Telangana, India","Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, India",17.360589,78.4740613
"Zoo Park, Hyderabad - TSPCB",Hyderabad,Telangana,"Hyderabad, Telangana, India","Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, India",17.360589,78.4740613
"Sanjay Palace, Agra - UPPCB",Agra,Uttar Pradesh,"Agra, Uttar Pradesh, India","Agra, Uttar Pradesh, India",27.1752554,78.0098161
"New Collectorate, Baghpat - UPPCB",Baghpat,Uttar Pradesh,"Baghpat, Uttar Pradesh, India","Baghpat, Uttar Pradesh, India",29.0374779,77.3062737
"Yamunapuram, Bulandshahr - UPPCB",Bulandshahr,Uttar Pradesh,"Bulandshahr, Uttar Pradesh, India","Bulandshahr, Uttar Pradesh, India",28.3874073,77.9743805
"Indirapuram, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,"Ghaziabad, Uttar Pradesh, India","Ghaziabad, Uttar Pradesh, India",28.7749966,77.4586967
"Loni, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,"Ghaziabad, Uttar Pradesh, India","Ghaziabad, Uttar Pradesh, India",28.7749966,77.4586967
"Sanjay Nagar, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,"Ghaziabad, Uttar Pradesh, India","Ghaziabad, Uttar Pradesh, India",28.7749966,77.4586967
"Vasundhara, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,"Ghaziabad, Uttar Pradesh, India","Ghaziabad, Uttar Pradesh, India",28.7749966,77.4586967
"Knowledge Park - III, Greater Noida - UPPCB",Greater Noida,Uttar Pradesh,"Greater Noida, Uttar Pradesh, India","Greater Noida, Gautam Buddha Nagar, Uttar Pradesh, 201310, India",28.4670734,77.5137649
"Knowledge Park - V, Greater Noida - UPPCB",Greater Noida,Uttar Pradesh,"Greater Noida, Uttar Pradesh, India","Greater Noida, Gautam Buddha Nagar, Uttar Pradesh, 201310, India",28.4670734,77.5137649
"Anand Vihar, Hapur - UPPCB",Hapur,Uttar Pradesh,"Hapur, Uttar Pradesh, India","Hapur, Uttar Pradesh, India",28.7166767,77.890433
"Nehru Nagar, Kanpur - UPPCB",Kanpur,Uttar Pradesh,"Kanpur, Uttar Pradesh, India","Kanpur, Kanpur Nagar, Uttar Pradesh, India",26.4609135,80.3217588
"Central School, Lucknow - CPCB",Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh, India","Lucknow, Uttar Pradesh, 226027, India",26.8381,80.9346001
"Gomti Nagar, Lucknow - UPPCB",Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh, India","Lucknow, Uttar Pradesh, 226027, India",26.8381,80.9346001
"Lalbagh, Lucknow - CPCB",Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh, India","Lucknow, Uttar Pradesh, 226027, India",26.8381,80.9346001
"Nishant Ganj, Lucknow - UPPCB",Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh, India","Lucknow, Uttar Pradesh, 226027, India",26.8381,80.9346001
"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh, India","Lucknow, Uttar Pradesh, 226027, India",26.8381,80.9346001
"Ganga Nagar, Meerut - UPPCB",Meerut,Uttar Pradesh,"Meerut, Uttar Pradesh, India","Meerut, Uttar Pradesh, India",29.0018557,77.7679671
"Jai Bhim Nagar, Meerut - UPPCB",Meerut,Uttar Pradesh,"Meerut, Uttar Pradesh, India","Meerut, Uttar Pradesh, India",29.0018557,77.7679671
"Pallavpuram Phase 2, Meerut - UPPCB",Meerut,Uttar Pradesh,"Meerut, Uttar Pradesh, India","Meerut, Uttar Pradesh, India",29.0018557,77.7679671
"Lajpat Nagar, Moradabad - UPPCB",Moradabad,Uttar Pradesh,"Moradabad, Uttar Pradesh, India","Moradabad, Uttar Pradesh, India",28.8796553,78.8095335
"New Mandi, Muzaffarnagar - UPPCB",Muzzaffarnagar,Uttar Pradesh,"Muzzaffarnagar, Uttar Pradesh, India",,-1,-1
"Sector - 125, Noida - UPPCB",Noida,Uttar Pradesh,"Noida, Uttar Pradesh, India","Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, India",28.5706333,77.3272147
"Sector - 62, Noida - IMD",Noida,Uttar Pradesh,"Noida, Uttar Pradesh, India","Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, India",28.5706333,77.3272147
"Sector-1, Noida - UPPCB",Noida,Uttar Pradesh,"Noida, Uttar Pradesh, India","Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, India",28.5706333,77.3272147
"Sector-116, Noida - UPPCB",Noida,Uttar Pradesh,"Noida, Uttar Pradesh, India","Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, India",28.5706333,77.3272147
"Ardhali Bazar, Varanasi - UPPCB",Varanasi,Uttar Pradesh,"Varanasi, Uttar Pradesh, India","Varanasi, Sadar, Varanasi, Uttar Pradesh, 221001, India",25.3356491,83.0076292
"Asansol Court Area, Asansol - WBPCB",Asansol,West Bengal,"Asansol, West Bengal, India","Asansol, Asansol Kulti Township, Paschim Bardhaman, West Bengal, India",23.6871297,86.9746587
"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",Durgapur,West Bengal,"Durgapur, West Bengal, India","Durgapur, Faridpur Durgapur, Paschim Bardhaman, West Bengal, 713200, India",23.5350475,87.3380425
"Haldia, Haldia - WBPCB",Haldia,West Bengal,"Haldia, West Bengal, India","Haldia, Purba Medinipur, West Bengal, 721604, India",22.028124,88.0632655
"Belur Math, Howrah - WBPCB",Howrah,West Bengal,"Howrah, West Bengal, India","Haora, Howrah, West Bengal, India",22.5736296,88.3251045
"Ghusuri, Howrah - WBPCB",Howrah,West Bengal,"Howrah, West Bengal, India","Haora, Howrah, West Bengal, India",22.5736296,88.3251045
"Padmapukur, Howrah - WBPCB",Howrah,West Bengal,"Howrah, West Bengal, India","Haora, Howrah, West Bengal, India",22.5736296,88.3251045
"Ballygunge, Kolkata - WBPCB",Kolkata,West Bengal,"Kolkata, West Bengal, India","Kolkata, West Bengal, India",22.5726459,88.3638953
"Bidhannagar, Kolkata - WBPCB",Kolkata,West Bengal,"Kolkata, West Bengal, India","Kolkata, West Bengal, India",22.5726459,88.3638953
"Fort William, Kolkata - WBPCB",Kolkata,West Bengal,"Kolkata, West Bengal, India","Kolkata, West Bengal, India",22.5726459,88.3638953
"Jadavpur, Kolkata - WBPCB",Kolkata,West Bengal,"Kolkata, West Bengal, India","Kolkata, West Bengal, India",22.5726459,88.3638953
"Rabindra Bharati University, Kolkata - WBPCB",Kolkata,West Bengal,"Kolkata, West Bengal, India","Kolkata, West Bengal, India",22.5726459,88.3638953
"Rabindra Sarobar, Kolkata - WBPCB",Kolkata,West Bengal,"Kolkata, West Bengal, India","Kolkata, West Bengal, India",22.5726459,88.3638953
"Victoria, Kolkata - WBPCB",Kolkata,West Bengal,"Kolkata, West Bengal, India","Kolkata, West Bengal, India",22.5726459,88.3638953
"Ward-32 Bapupara, Siliguri - WBPCB",Siliguri,West Bengal,"Siliguri, West Bengal, India","Siliguri, Siliguri Subdivsion, Darjeeling, West Bengal, India",26.7164127,88.4309916
